id;name;calories;proteins;fats;carbohydrates
191;Глюкоза с витаминами;405;0;0;99
123;Драже помадное;360;1.1;2.3;83.9
124;Драже ореховое в шоколаде;484;5.4;17.5;66.1
197;Зефир;314;0;0;78.5
125;"Ирис ""Золотой ключик""";385;3.9;9;72.2
126;Карамель леденцовая;357;0;0;89.2
127;Карамель с помадной начинкой;333;0;0;83.4
128;Карамель с фруктовой начинкой;330;0;0;82.6
196;Карамель с шок.-ореховой начинкой;400;3.2;9.2;76.5
130;Конфеты шок.грильяж;514;5.4;27;62.2
131;Конфеты шок.помадные;390;3.6;9.9;71.8
132;Конфеты шок.фруктовые;356;2.5;8.7;66.6
133;Мармелад желейный формовой;280;0;0;69.9
134;Мармелад яблочный формовой;255;0;0;64.7
135;Мед;318;0.3;0;77.2
136;Пастила;323;0;0;80.4
198;Повидло яблочное;250;0.3;0;62
137;Помадка фруктовая;346;0;0;86.5
138;Сахар;400;0;0;99.8
139;Тянучка сливочная;405;3.1;9.1;73.7
140;Халва арахисовая;498;16.7;30.4;39.2
141;Халва подсолнечная;506;18.8;31.5;36.7
142;Халва тахинная;510;13.9;32.5;40.3
143;Шоколад ванильный;542;5.1;33.1;55.3
144;"Шоколад ""Золотой ярлык""";547;6.3;37.2;46.5
145;Шоколад молочный десертный;556;6.9;39.9;44.2
230;"Печенье сахарное ""К чаю""";422;7.8;12;70.8
231;Печенье овсяное;419;6;15;67
147;Горошек зеленый консерв.;37;2.3;0;6.8
201;Грибы белые;32;0.8;0.8;5
148;Грибы белые сушеные;362;30.2;12.6;29.3
149;Икра баклажанная,кабачк.;128;1.6;10.3;6.8
150;Капуста сушеная;244;13.5;0;47.6
151;Картофель;86;1.7;0;20
152;Картофель сушеный или крупка;315;6.1;0;72.3
153;Лук репчатый;44;2;0;8.9
154;Лук репчатый сушеный;264;16;0;47.8
202;Маслята свежие;21;1.7;0.3;3.3
155;Морковь;34;1;0;7.4
156;Морковь сушеная;270;13;0;54.6
203;Опята свежие;23;1.7;0.5;3.8
157;Перец фарширов.консерв.;101;1.4;6.3;9.9
200;Свекла;40;1.2;8.8;8.8
158;Свекла сушеная;248;7.4;0;54.3
159;Чеснок;115;5.4;0;21.6
223;Помидоры свежие;19;0.6;0;4.2
224;Огурцы свежие;15;0.8;0;3
232;Боб свежий;59;6;0;8.3
161;Груши сушеные;248;2.3;0;62.1
162;Изюм (виноград вял.с кост);291;1.8;0;70.9
163;Кишмиш (виноград вял.без кост);294;2.3;0;71.2
164;Курага (абрикосы вял.без кост);284;5.2;0;65.9
165;Курага (персики вял.без кост);286;3;0;68.5
166;Миндаль;575;18.2;50.5;11.9
167;Орехи грецкие;621;13.6;56;11.7
168;Орехи лесные;636;14.1;60.8;7.7
169;Орехи кедровые;654;16.2;60;12.3
170;Сухофрукты в ассортименте;260;3;0;62
171;Урюк (абрикосы вял.с кост.);290;5;0;67.5
172;Чернослив;272;2.3;0;65.6
173;Яблоки сушеные;285;3.2;0;68
209;Яблоки свежие;48;0.3;0;11.5
210;Смородина черная;43;0.7;0;9.8
211;Смородина красная;44;0.5;0;10.5
212;Малина;41;0.9;0;9.2
213;Земляника;43;1.5;0;8.9
214;Абрикосы;47;0.5;0;10.9
215;Слива, алыча;54;0.6;0;12.6
216;Клюква;39;0.3;0;8.6
217;Арбуз;33;0.5;0;7.7
218;Дыня;42;0.6;0;9.6
219;Лимон;40;0.5;0;9.3
220;Смесь Молодёжная;430;11.1;20.7;53.4
